0.02	0.199
0.03	0.235
0.04	0.410
0.05	0.466
0.06	0.558
0.07	0.714
0.08	0.395
0.09	0.382
0.1	1.006
0.2	1.471
0.3	2.355
0.4	2.333
0.5	4.795
0.6	2.830
0.7	3.780
1	7.459
1.05	5.485
1.1	7.830
1.15	5.568
1.2	7.353
1.25	7.904
1.3	8.377
1.35	9.450
1.4	6.848
1.45	9.500
1.5	10.597
1.55	7.159
1.6	10.116
1.65	8.018
1.7	8.937
1.75	10.877
1.8	9.331
1.85	9.109
1.9	10.103
1.95	11.966
2	11.757
2.1	9.303
2.2	11.833
2.3	12.234
2.4	12.284
2.5	12.508
2.6	11.999
2.7	12.510
2.8	12.408
