0.2	0.657
0.4	1.914
0.6	3.235
0.8	1.213
1	0.809
1.2	3.150
1.4	0.960
1.6	4.045
1.8	2.660
2	2.403
2.2	4.246
2.4	4.090
2.6	7.013
2.8	6.671
3	9.826
3.2	10.402
3.4	8.858
3.6	7.778
3.8	12.809
4	13.086
4.2	13.077
4.4	12.150
4.6	17.145
4.8	14.212
5	17.781
5.2	16.516
5.4	20.926
5.6	23.353
5.8	23.715
6	23.008
6.2	25.705
6.4	26.440
6.6	30.876
6.8	30.363
7	32.226
7.2	35.335
7.4	33.193
7.6	38.807
7.8	38.991
8	41.240
8.2	40.155
8.4	45.926
8.6	46.991
8.8	48.157
9	48.470
9.2	51.615
9.4	52.777
9.6	57.292
9.8	56.371
