0.2	1.048
0.3	0.787
0.4	1.107
0.5	2.980
0.6	3.700
0.7	3.778
0.8	3.764
0.9	5.172
1	3.716
1.1	6.384
1.2	9.129
1.3	8.770
1.4	4.304
1.5	11.037
1.6	9.883
1.7	10.969
1.8	9.965
1.9	7.375
2	11.906
2.2	13.430
2.4	9.191
2.6	10.580
2.8	15.061
3	9.867
3.2	13.958
3.4	20.216
3.6	12.565
3.8	23.487
4	28.123
4.2	24.880
4.4	17.975
4.6	19.065
4.8	32.009
5	32.345
5.2	26.188
5.4	27.200
5.6	36.290
5.8	33.787
6	30.192
6.2	29.771
6.4	29.685
6.6	41.533
6.8	39.318
7	33.693
7.2	34.865
7.4	40.096
7.6	49.384
7.8	46.278
8	49.604
8.5	49.191
9	58.339
9.5	51.130
10	62.288
10.5	65.522
11	61.921
11.5	66.243
12	78.560
12.5	82.173
13	74.748
13.5	88.361
14	94.495
14.5	100.431
15	93.562
15.5	98.974
16	110.721
16.5	116.743
17	107.021
17.5	111.065
18	124.073
18.5	123.804
19	128.567
19.5	133.597
20	134.595
21	150.952
22	162.244
23	164.110
24	174.372
25	194.781
26	200.551
27	208.665
28	221.656
